date,C,C#,C++,Java,JavaScript,Python
2010-02-07,16.6,5.01,9.45,17.35,2.64,4.31
2010-03-07,17.28,4.26,9.61,17.51,2.65,4.23
2010-04-05,18.06,4.43,9.71,18.05,2.47,4.21
2010-05-15,18.19,4.78,10.38,17.96,2.08,4.1
2010-07-06,18.48,5.73,10.47,18.67,2.43,4.22
2010-07-30,17.87,4.99,9.66,17.99,2.4,4.22
2010-09-11,17.15,5.02,9.81,17.92,1.66,4.58
2010-10-02,17.18,4.96,9.8,18.17,1.66,4.86
2010-11-03,16.72,5.71,9.5,18.51,1.66,5.68
2010-12-07,16.08,6.69,9.01,18,1.51,6.48
2011-01-02,15.82,6.23,8.78,17.77,1.59,6.26
2011-02-08,14.99,6.81,8.19,18.48,2.56,7.04
2011-03-08,15.26,7.21,8.75,19.71,1.87,5.74
2011-04-03,16.16,7.19,9.23,19.04,1.51,4.93
2011-05-02,16.17,7.54,9.15,18.16,1.39,4.58
2011-06-05,16.28,6.84,9.83,18.58,1.5,3.9
2011-06-27,16.28,6.84,9.83,18.58,1.5,3.9
2011-07-08,17.28,6.22,9.02,19.25,2.24,3.58
2011-08-03,17.39,6.04,8.43,19.41,1.56,3.41
2011-09-10,18,6.82,8.85,18.76,1.47,4
2011-10-09,17.71,6.72,9.07,17.91,2.19,3.94
2011-11-07,17.32,7.32,8.08,17.87,2.56,3.62
2011-12-04,17.06,8.21,8.25,17.56,2.2,3.49
2012-01-08,16.97,8.76,8.05,17.47,2.32,3.21
2012-02-05,16.52,8.65,7.85,17.05,2.46,3.15
2012-03-11,17.09,8.24,8.05,17.11,3.39,3.29
2012-04-08,17.55,7.35,8.9,17.03,2.88,3.66
2012-05-09,17.35,6.82,9.82,16.6,2.13,3.82
2012-06-10,17.72,7.03,9.36,16.26,1.47,3.85
2012-07-04,18.33,6.67,9.12,16.09,1.45,4
2012-08-10,18.94,6.59,9.33,16.35,1.37,3.88
2012-09-02,19.3,6.6,9.15,16.27,1.33,3.86
2012-10-05,19.82,6.53,9.26,17.19,1.26,3.9
2012-11-04,19.22,5.59,9.7,17.46,1.28,4.06
2012-12-02,18.7,5.55,9.2,17.57,1.32,3.85
2013-01-05,17.85,6.2,9.14,17.42,1.98,4.17
2013-02-08,17.08,6.68,8.76,18.39,1.42,4.95
2013-03-11,17.14,6.6,9.11,18.16,1.37,4.39
2013-04-07,17.86,6.15,9.71,17.68,1.51,4.44
2013-05-08,18.73,6.12,9.2,16.91,1.54,4.32
2013-06-09,17.81,5.78,8.82,16.66,1.65,4.18
2013-07-07,17.63,6.21,8.75,15.91,1.84,4.03
2013-07-12,17.63,6.21,8.75,15.91,1.84,4.03
2013-08-04,15.97,6.12,9.37,15.98,2.09,3.6
2013-09-11,16.98,5.56,8.66,16.15,2.01,3.17
2013-10-10,17.25,5.72,8.66,16.11,2.04,3.11
2013-11-09,18.16,6.02,8.37,16.52,2.05,3.11
2013-12-06,17.89,5.62,8.27,17.31,1.85,2.21
2014-01-01,17.94,5.85,7.56,16.52,1.58,2.37
2014-02-08,18.33,6.45,6.89,17.32,1.93,2.16
2014-03-03,17.53,5.57,6.31,16.41,1.9,2.02
2014-04-10,17.63,4.82,6.14,17.35,1.75,1.99
2014-05-07,16.93,3.75,5.99,16.91,1.79,3.06
2014-06-08,16.19,3.94,6.43,16.11,2,2.71
2014-07-06,17.14,4.05,5.52,15.69,1.81,2.66
2014-08-11,16.4,3.41,4.7,14.98,2.17,3.12
2014-09-01,16.72,4.35,4.67,14.14,2.45,2.78
2014-10-03,17.66,4.75,4.87,13.51,1.77,2.33
2014-11-08,17.47,4.98,6.1,14.39,2.09,2.59
2014-12-07,17.59,4.33,6.1,14.96,2.43,2.29
2015-01-06,16.7,5.05,6.7,15.53,3.27,2.61
2015-02-05,16.49,5.74,6.61,15.34,3.51,2.88
2015-03-07,16.64,4.92,6.64,15.58,3.63,2.61
2015-04-13,15.75,4.95,6.96,16.04,3.3,2.69
2015-05-13,16.85,5.26,7.87,16.87,3.13,3.72
2015-06-06,16.79,5.06,7.76,17.82,2.3,4
2015-07-12,16.15,5.65,8.64,17.73,2.19,4.26
2015-08-06,14.73,4.84,7.74,19.27,2.16,4.07
2015-09-05,15.62,4.91,6.78,19.56,2.34,3.66
2015-10-04,16.19,4.82,5.75,19.54,2.29,4.51
2015-11-07,17.15,4.32,6.2,20.4,2.47,3.77
2015-12-04,16.46,4.11,5.94,20.97,2.36,4.43
2016-01-02,16.04,4.71,6.91,21.47,2.57,3.85
2016-02-02,15.59,4.4,6.91,21.14,2.2,4.18
2016-03-03,14.6,4.27,6.72,20.53,2.33,4.26
2016-04-07,13.91,3.8,5.92,20.85,2.57,3.33
2016-05-06,13.22,4.48,6.7,20.96,2.34,3.79
2016-06-05,12.38,3.79,6.2,20.79,2.58,3.9
2016-07-04,12.24,3.92,6.31,19.8,2.64,4.17
2016-08-06,11.3,4.91,5.8,19.01,2.71,4.4
2016-09-08,10.95,5.49,6.66,18.24,2.93,4.3
2016-10-07,9.84,4.37,5.8,18.8,2.75,3.77
2016-11-05,9.2,3.66,5.41,18.75,2.71,3.57
2016-12-04,8.73,3.17,5.34,17.86,2.86,4.24
2017-01-07,9.35,4.04,6.3,17.28,2.85,3.46
2017-02-08,8.44,4.9,5.43,16.68,2.87,4.04
2017-03-07,7.74,4.41,5.18,16.38,2.67,3.92
2017-04-09,6.97,3.58,4.55,15.57,2.85,3.46
2017-05-06,7,3.46,4.75,14.64,3.07,3.55
2017-06-03,6.85,3.53,5.72,14.49,3.02,4.33
2017-07-07,7.32,3.52,5.58,13.77,2.61,3.54
2017-08-02,6.48,4.2,5.55,12.96,2.1,3.69
2017-09-06,7.38,4.78,5.56,12.69,2.02,2.98
2017-10-05,8.37,3.86,5.01,12.43,3.01,3.8
2017-11-12,9.29,3.01,5.34,13.23,2.97,4.48
2017-12-09,10.16,2.82,4.72,13.27,2.47,3.78
2018-01-03,11.04,3.75,5.6,14.22,3.47,4.68
2018-02-08,11.86,4.45,5.73,14.99,3.16,5.17
2018-03-07,12.76,5.07,6.45,14.94,3.92,5.87
2018-04-01,13.59,5.27,7.22,15.78,3.49,5.8
2018-05-06,14,4.4,7.67,16.38,2.92,5.19
2018-06-10,14.94,4.31,8.34,15.37,2.5,5.76
2018-07-07,14.66,3.79,7.62,16.14,2.83,6.36
2018-08-01,14.97,3.54,7.47,16.88,2.41,6.99
2018-09-03,15.45,3.3,7.39,17.44,2.13,7.65
2018-10-05,15.38,3.49,7.59,17.8,2.28,7.16
2018-11-08,14.4,3.95,8.28,16.75,2.66,7.68
2018-12-02,14.28,3.45,7.56,15.93,3.06,8.38
2019-01-04,13.34,3.28,8.16,16.9,3.3,8.29
2019-02-06,12.42,2.85,7.44,15.88,2.85,7.57
2019-03-02,13.31,3.27,8.13,14.88,2.43,8.26
2019-04-07,14.08,3.52,8.84,15.04,2.51,8.17
2019-05-04,14.24,3.98,8.1,16,2.69,7.83
2019-06-09,13.3,4.48,7.38,15,2.72,8.53
2019-07-06,14.21,4.36,6.7,15.06,2.3,9.26
2019-08-05,15.15,3.84,6.06,16.03,2.26,10.02
2019-09-09,15.21,3.4,5.64,16.66,2.13,9.87
2019-10-05,16.18,3.86,6.23,16.88,2.08,9.09
2019-11-03,16.04,4.32,5.6,16.25,1.93,9.84
2019-12-06,16.09,4.8,6.2,17.25,2.09,10.31
2020-01-05,15.77,5.35,5.57,16.9,2.45,9.7
2020-02-04,16.77,5.93,6.16,17.36,2.06,9.35
2020-03-04,16.33,5.32,6.79,17.78,2.05,10.11
2020-04-02,16.72,4.74,6.78,16.73,2.38,9.31
2020-05-02,17.07,4.29,6.13,16.28,2.68,9.12
2020-06-01,17.19,4.73,5.95,16.1,2.27,8.36
2020-07-04,16.45,5.25,6.21,15.1,2.48,9.09
2020-08-02,16.98,4.68,6.84,14.43,2.87,9.69
2020-09-06,15.95,4.58,7.11,13.48,2.54,10.47
2020-10-04,16.95,4.16,6.94,12.56,2.14,11.28
2020-11-03,16.21,4.67,7.6,11.68,2.03,12.12
2020-12-03,16.48,4.2,6.91,12.53,2.35,12.21
2021-01-02,17.38,3.95,7.56,11.96,2.2,11.72
2021-02-06,16.34,4.44,6.88,11.29,2.27,10.86
2021-03-04,15.33,4.97,6.52,10.45,2.11,10.31
2021-04-04,14.32,4.91,7.14,11.23,2.44,11.03
2021-05-02,13.38,4.41,7.81,11.74,2.45,11.87
2021-06-05,12.54,4.33,7.36,11.54,2.33,11.84
2021-07-04,11.63,4.84,8.02,11.2,2.71,10.96
2021-08-03,12.57,5.14,7.36,10.43,2.95,11.86
2021-09-11,11.83,5.78,7.13,11.12,2.55,11.67
2021-10-06,11.16,5.26,7.5,10.46,2.19,11.27
2021-11-06,10.72,6.06,8.28,10.72,2.66,11.77
2021-12-05,11.8,6.4,7.73,10.12,2.3,12.9
2022-01-01,12.44,5.68,8.29,10.66,2.09,13.58
2022-02-02,14.08,5.37,8.01,12.13,1.83,15.33
2022-03-02,13.06,5.92,8.66,11.19,2.09,14.26
2022-04-05,12.71,6.82,8.28,10.82,2.41,13.92
2022-05-03,11.59,6.39,8.83,10.99,2.12,12.74
2022-06-04,11.91,6.12,9.63,10.47,2.09,12.2
2022-07-02,13.13,5.65,10,11.59,1.78,13.44
2022-08-02,14.76,5.41,10.14,12.46,2.4,15.63
2022-09-01,13.96,4.88,9.76,11.72,2.82,15.74
2022-10-01,15.21,4.42,9.92,12.84,2.74,17.08
2022-11-01,15.08,4.25,10.75,11.98,2.74,17.18
2022-12-02,16.56,4.92,11.94,11.82,3.19,16.66
2022-12-29,16.26,5.73,12.91,12.21,2.87,16.36
2023-02-01,15.39,6.38,13.94,13.21,2.52,15.49
2023-03-02,14.73,7.17,13.29,13.56,2.17,14.83
2023-04-01,14.41,8.21,12.96,13.23,2.1,14.51
2023-05-02,13.35,7.43,11.96,12.22,2.44,13.45
2023-06-02,12.37,6.71,11.36,11.28,2.82,12.46
2023-07-02,11.56,6.87,10.8,10.5,3.11,13.42
2023-08-04,11.41,7.04,10.63,10.33,3.29,13.33
2023-09-02,11.27,7.31,10.65,9.49,3.3,14.16
2023-10-04,12.08,7.71,10.67,8.92,2.91,14.82
2023-11-02,11.77,7.65,10.36,8.35,3.21,14.16
2023-12-04,11.44,7.3,10.01,7.99,2.9,13.86
2024-01-02,11.44,7.16,9.96,7.87,2.77,13.97
2024-02-02,10.97,7.53,10.53,8.88,3.17,15.16
2024-03-01,11.17,7.54,10.7,8.95,3.38,15.63
2024-04-03,10.21,6.77,9.76,8.94,2.89,16.41
2024-05-01,9.98,6.49,9.53,8.69,3.01,16.33
2024-06-01,9.23,6.65,10.03,8.4,3.32,15.39
2024-07-03,9.48,6.72,10.34,8.59,3.79,16.12
2024-08-01,9.17,6.39,10.04,9.16,3.91,18.04
2024-09-01,8.89,6.08,10.75,9.45,3.92,20.17
2024-10-02,8.38,5.62,11.6,10.51,3.54,21.9
2024-11-01,9.01,4.98,10.64,9.6,3.71,22.85
2024-12-01,9.1,4.87,10.82,9.72,4.61,23.84
2025-01-01,8.86,4.45,10.29,10.15,4.2,23.28
2025-02-01,9.84,4.12,11.37,10.66,3.78,23.88
2025-03-03,9.53,4.87,11.08,10.36,3.46,23.85
2025-04-01,9.94,4.39,10.33,9.63,3.71,23.08
2025-05-02,9.71,4.22,9.94,9.31,3.68,25.35
2025-06-01,9.47,4.69,10.68,8.84,3.21,25.87
2025-07-02,9.65,4.87,9.8,8.76,3.36,26.98
2025-08-02,9.03,5.52,9.18,8.59,3.15,26.14
2025-09-02,8.65,6.38,8.8,8.35,3.22,25.98
2025-10-02,9.29,6.94,8.84,8.35,3.41,24.45
2025-11-01,9.68,7.65,8.95,8.54,3.42,23.37
2025-12-02,10.11,7.26,8.95,8.7,2.96,23.64
2026-01-01,10.99,7.39,8.67,8.71,3.03,22.61
2026-02-01,11.05,6.83,8.55,8.12,2.92,21.81
2026-03-01,11.55,6.36,8.18,7.99,3.45,21.25
2026-04-03,12.34,5.98,8.03,7.79,3.11,20.97
2026-05-02,11.55,5.41,7.92,7.94,3.08,19.98
2026-06-04,10.77,4.85,8.03,7.9,3.04,18.96
2026-07-03,10.86,4.49,9.12,8.03,2.72,18.94
2026-08-03,11.1,4.09,8.62,8.25,2.63,18.53
